,tag,name,badgeId,trophies,rank,memberCount
162,#229R9QJ2G,YlFAN :),8000039,1477327,163,30
163,#LVV28JYV,<c7>T0</c>,8000059,1477116,164,30
164,#20LCU0CVV,Skillstorm,8000003,1476162,165,30
165,#2PG922RUU,Remaining Alpha,8000033,1475462,166,30
166,#20UJ0Y89G,Brawl Kings II,8000055,1475101,167,30
167,#2289JQURV,diksha pro's,8000029,1474354,168,30
168,#2YRPQQJCV,うおおおおおおおおおおおおおお,8000057,1474344,169,30
169,#2888JJ2PY,⚔Vixens⚔,8000023,1474192,170,30
170,#29Q2G20UP,JR|LEGENDS,8000049,1474109,171,30
171,#2R8JCP88U,BS|MORTIS💜,8000025,1473964,172,30
172,#GVY8GVJ,HK瘋,8000029,1473882,173,29
173,#20LRCLGJL,Mizmiripsis🛐,8000025,1473694,174,30
174,#2990LG0U2,House KarStark,8000055,1473313,175,30
175,#UQ8VQCYG,BLITZ Elite,8000029,1473164,176,30
176,#2RPGCUP8U,Pure Raip Gamin,8000039,1473107,177,30
177,#Y0LRUVP0,Orchidée bleue,8000021,1472942,178,30
178,#2G92G8YCQ,🌪₮ØɌ₦₳ƉØ🌪,8000052,1472237,179,29
179,#2JJ90VRUP,A Few Good Damn,8000027,1471986,180,30
180,#2GGVJGRLV,Türk Milleti,8000059,1471876,181,29
181,#28JLJ2CJL,ゑ | Solo&Duoゝ💘,8000039,1471621,182,30
182,#PRJQYCJ,THE CLAN,8000004,1471419,183,30
183,#G9U8R8U0,Dutch Leaders,8000018,1471399,184,30
184,#28JLR82RP,Brawl star top,8000004,1470798,185,30
185,#29UUPQ202,<c0>Ｒｅｂｉｒｔｈ</c>,8000037,1469859,186,30
186,#22UL0V2P2,Diamond Crew,8000055,1468480,187,30
187,#2Q9PRQ9LR,MysticGalaxy,8000025,1468350,188,30
188,#2R28P29PP,⚔️Black Shark⚔️,8000025,1468076,189,30
189,#29LL8YV2C,<c0>IMPACT</c>,8000021,1467471,190,30
190,#PLV9UU8G,LA Spain,8000035,1464807,191,30
191,#C80002PP,choa,8000041,1464763,192,29
192,#PL0G8R0,백화,8000035,1464562,193,30
193,#QRVJP92R,Brawl Con Limón,8000039,1464110,194,30
194,#29C0CJ9CQ,ƝօɓƖҽʂ ƘíƖƖҽɾʂ,8000056,1463175,195,30
195,#28U982,RealDutch,8000029,1462897,196,29
196,#28GCRVPG2,F̶G̶Z̶✨ɢᴀɴɢツ,8000010,1462374,197,30
197,#202U9292P,<c5>HOR</c>IZON,8000059,1462257,198,30
198,#2L0QYJPLR,EvilFreedom ™,8000033,1462159,199,30
199,#V9JYGLLG,⚠️₣นєгʑαร єℓἷτє,8000029,1462063,200,30
