brawler_name,player_tag,player_name,name_color,player_icon,player_trophies,rank,club
GRAY,#QRUQQLV0,CG |Nukleo,0xffff8afb,28000081,1100,82,LA Instinct
GRAY,#2JJQQCR8C,おるる最終形態,0xffffffff,28000041,1100,83,猫さん本舗
GRAY,#2CYJ0Q99Q,CMG|tostadas,0xff1ba5f5,28000175,1097,84,
GRAY,#80PRL8YR2,隣のみけっち！,0xffffce89,28000221,1097,85,みけねこ王国
GRAY,#2RGYULP09,๛€มทู๓น้๏€,0xfff9c908,28000058,1095,86,Pleiades
GRAY,#22J9JYYL0,TBM | Mani,0xfff9c908,28000233,1095,87,<c00ff5f>D1</c>
GRAY,#PRP9UGU9Q,OM|marlowe⚽️,0xffcb5aff,28000076,1092,88,おいも
GRAY,#PUYRY99J,SEA|kumachi♪god,0xfff05637,28000139,1092,89,gloria🎈
GRAY,#RLLRJ2,DW | Patchy 🥷,0xffcb5aff,28000085,1090,90,Humble Grinders
GRAY,#88RPQY0PY,新選組〆兜,0xffffffff,28000076,1090,91,😄🙌
GRAY,#P8008YPL,NenNe❦,0xff4ddba2,28000075,1086,92,<c1>BBOBBY</c>
GRAY,#82VQPQGVC,★Nakano nino❤️,0xffff9727,28000050,1086,93,うおおおおおおおおおおおおおお
GRAY,#2VJ0CRUV,【﻿₱₳ł₦ĐɆ₳₮Ⱨ】,0xffffffff,28000122,1085,94,Lunatic Asylum▵
GRAY,#QPPGPVP,Freddy Fazbear,0xfff05637,28000111,1085,95,<c682cbf>D1</c>
GRAY,#2JGCU2299,♡•bryan•♡🧸,0xffa2e3fe,28000196,1084,96,7 Dwarves
GRAY,#2UYJV98J2,𝐍𝐓|𝐉𝐨𝐫𝐞𝐧,0xffffce89,28000058,1084,97,the NOMADくれいじー
GRAY,#2C9RPLLVV,JLY|Jar🧸💘,0xfff05637,28000182,1083,98,kardiafc
GRAY,#2L9PGQJJR,RF | Megдm¡nd,0xffffce89,28000230,1082,99,Prime Apex
GRAY,#JP0VRJ2R,HIVE|Toothless,0xffffffff,28000014,1081,100,Life is ThuG
GRAY,#809P8LJUP,通りすがりのまるちゃん🧸,0xffffffff,28000112,1080,101,バラ色の人生
GRAY,#V2Q080UU,HNK|Valembeau,0xffcb5aff,28000035,1080,102,UNP ISRAEL™
GRAY,#LGGR9C02U,PitchD|Linker,0xff1ba5f5,28000156,1080,103,KingdomRush
GRAY,#YGU20CRG,vital shark,0xffcb5aff,28000029,1080,104,<c1>MERCY</c>
GRAY,#LCP2Y2Q,Lachkid,0xff1ba5f5,28000014,1078,105,<c5>Just Us</c>
GRAY,#82920G2LC,R.I.P | ZeRo™☃️,0xff1ba5f5,28000201,1078,106,ᴍᴀғɪᴀ ᴋɪᴅs
GRAY,#PVYYPVRGP,ThxForFreeWin🦧,0xff1ba5f5,28000113,1068,107,🌈=nt im club
GRAY,#2Q028GQQP,Dodgeforthewin,0xffffffff,28000005,1068,108,NA Friends
GRAY,#GGVQY0JU,giyu :p,0xfff9c908,28000233,1067,109,Ghost Team👻☔
GRAY,#20VPVLRPY,Shall,0xffff9727,28000175,1067,110,Dandelions
GRAY,#8CRJ2LYYQ,SSR|AraN⚽,0xffffffff,28000230,1067,111,<c7>赤盾キャリー</c>
GRAY,#9URPL8UYL,PRIDEFUL|VAMPIR,0xfff05637,28000004,1066,112,LR Gaming
GRAY,#PYJ0GRYPV,PoliCeS,0xffffffff,28000197,1066,113,<c3>GloRy</c>
GRAY,#802VG829,LuRkz🩵Sq,0xffcb5aff,28000075,1065,114,Havoc Echo
GRAY,#QCC0UVC,LP|Code:Emerick,0xffffffff,28000186,1065,115,UNP ISRAEL™
GRAY,#89PPCLP,⋆͛★🍯るし🐝★⋆͛,0xfff9c908,28000150,1063,116,High Ping 😵‍💫
GRAY,#8CLVVJ890,ると,0xff1ba5f5,28000057,1062,117,✙ぴの教✙
GRAY,#C8Y8JYR2,🌀WH|waso👑,0xff4ddba2,28000112,1062,118,World Highflier
GRAY,#RR0VLV9G,Agent｜shomu,0xff1ba5f5,28000122,1062,119,Study time bye
GRAY,#P88UVUR9,遊戲人生💙WI-FI🌕💫,0xff1ba5f5,28000241,1061,120,🌱ʕ•̀ω•́ʔ
GRAY,#JQCV2QVQ,Gruyaᶜᵃʳʳʸᵧₒᵤ,0xffffffff,28000130,1061,121,Elite Saiyan🔱
GRAY,#GPJQLRCG,Pain,0xff4ddba2,28000135,1061,122,★the Players★
GRAY,#QR2L,OJ,0xfff05637,28000186,1060,123,cheese el pro
GRAY,#9LYQR9QC,Stas.,0xff4ddba2,28000101,1060,124,Affective.
GRAY,#88PRQY082,ViVi『BIBI』,0xffcb5aff,28000041,1060,125,🌃MORTIS🌃
GRAY,#8C8JR0G0,lildev☕️🦦,0xffffce89,28000110,1060,126,Sworn_Dominion
GRAY,#28GRUGVUP,パナス🥶,0xff1ba5f5,28000183,1060,127,DARK-KINGS😈
GRAY,#RR889U0V,CalmChess,0xff1ba5f5,28000228,1060,128,A Few Good Boys
GRAY,#208R28098,Roteez❤️,0xffcb5aff,28000129,1060,129,70к?
GRAY,#9YC99UPPU,Hayan,0xffffffff,28000063,1060,130,동물농장
GRAY,#809ULJU2,KLIMtm,0xffa8e132,28000151,1060,131,Timeline’s pub
GRAY,#QC8PGV8Q,Łä§즉|Våñ율°,0xff1ba5f5,28000018,1060,132,🤔🤔🤔
GRAY,#290RCR0GU,james,0xffffffff,28000000,1060,133,Heal死你
GRAY,#8V92UYCJ,NoN | Lukii,0xffcb5aff,28000207,1060,134,A Few Good Men
GRAY,#YCVJ2Q0,㉺LIor ƬƝƬ✘,0xfff9c908,28000017,1060,135,Tribe Israel
GRAY,#2282LR0YG,CMG | Ken-G,0xff1ba5f5,28000234,1060,136,ChasmacGaming
GRAY,#P2RPPL2QJ,제로❦(無),0xffffffff,28000175,1060,137,Miracle
GRAY,#LJ0V2PQQJ,♨️BAD BOY♨️,0xffa2e3fe,28000161,1060,138,VIP SQUAD
GRAY,#2Y292VJ0,모두들 안녕🤗💑😭💜,0xffa2e3fe,28000175,1060,139,KLT 챔피언십
GRAY,#28CVCPU8J,SF|M@XIMO <3,0xffa8e132,28000081,1060,140,MagicReturns❦
GRAY,#80VPCL0PG,Kekan,0xff1ba5f5,28000069,1060,141,BOBR gaming
GRAY,#VGPLRCVQ,Buzkoa,0xfff9c908,28000020,1060,142,<c5> D1 </c>
GRAY,#G99CYGL,Zaiko❄️,0xff4ddba2,28000183,1060,143,Free Win
GRAY,#L0UV2UR,unbeatable,0xff4ddba2,28000141,1060,144,Lion capital
GRAY,#80QUGYC,DaddyCrying,0xffa8e132,28000186,1060,145,Tribe Gaming NA
GRAY,#20J8CYUY8,SukaTawit,0xfff9c908,28000014,1060,146,
GRAY,#2Q9YC088U,❄ice|wave🌊,0xff1ba5f5,28000071,1060,147,ice❄
GRAY,#V9L9Y89R,호세,0xffffce89,28000008,1060,148,BC*|Family*
GRAY,#LP2G2UR9R,respect,0xffa2e3fe,28000185,1060,149,PRO
GRAY,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000167,1060,150,ChillOG
GRAY,#PLLRJC2V,Docinho 🍬,0xff4ddba2,28000031,1060,151,Ghost Team👻☔
GRAY,#JP928LL8,Eagx Prime 3%🏂,0xff1ba5f5,28000112,1060,152,Recovery
GRAY,#29L028GQL,Djahsta,0xff1ba5f5,28000164,1060,153,BC*|Gaming EU
GRAY,#8990VRQL,Vik0705,0xffffffff,28000228,1060,154,Просто крутые
GRAY,#2YR9JJLPG,Chris Bumstead,0xff1ba5f5,28000134,1060,155,Rivor eSports
GRAY,#8QUQR2YYL,恩寶超會,0xfff9c908,28000018,1060,156,看三小辣椒
GRAY,#9RVPL0Q0P,Arthur🌸,0xffa8e132,28000006,1060,157,
GRAY,#999Y9902G,ビビ愛好家,0xff1ba5f5,28000041,1060,158,
GRAY,#20LC28GPV,Crow,0xffffffff,28000014,1060,159,🖤Moonlight🖤
GRAY,#JRJYV2JG,🃏|Frido被,0xffff8afb,28000128,1060,160,<c7>D1 </c>
GRAY,#9C0V20YPL,Kapp’n,0xffffffff,28000054,1060,161,Casual Grinders
GRAY,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1060,162,<c7>D1 </c>
GRAY,#82YUGP92R,날아올라,0xff1ba5f5,28000150,1060,163,choa
GRAY,#JJRVUVPV,LNW | Alonso,0xffff8afb,28000132,1060,164,Golden Monkeys
GRAY,#GCQV090Y,MiiQUEL,0xff1ba5f5,28000175,1060,165,zRush🖤
GRAY,#2RG0LV02,Scoo Prime 3%🏂,0xff1ba5f5,28000111,1060,166,Recovery
GRAY,#9009ULRQJ,OG|Dragon >.<,0xfff9c908,28000003,1060,167,<c0> D1 </c>
GRAY,#8U2GYYCR9,愛Kurokiba,0xfff05637,28000135,1060,168,O.G<c4>ᴳᴬᴺᴳ</c>
GRAY,#YPRJQCPJU,💎legendary💎,0xff1ba5f5,28000057,1060,169,Halloween 🎃👻
GRAY,#Q9LVYLRY,maadi,0xffa8e132,28000129,1060,170,UNP ISRAEL™
GRAY,#8VJYGP2R8,+＋爽凛❇︎SOURIN＋+,0xff1ba5f5,28000170,1060,171,Magicians
GRAY,#2PJGJY2J2,Crazy_安房水産,0xffffce89,28000170,1060,172,ブロスタガチ勢はただのニート
GRAY,#80YLUGRL,ɢʀ|Cordovita🥀,0xff1ba5f5,28000134,1060,173,GＥＮＥＩRＹＯＤＡＮ🕷️
GRAY,#29JJCQULC,BC* |Crusher🍉,0xffffffff,28000175,1060,174,BC*|Family*
GRAY,#UYUUQQ8Q,대왕❦(光),0xff1ba5f5,28000063,1060,175,Miracle
GRAY,#CY2PLLP2,!bY WitZaD-❌,0xffcb5aff,28000041,1060,176,GＥＮＥＩRＹＯＤＡＮ🕷️
GRAY,#QJPRP8J8,Sardo,0xffff8afb,28000245,1060,177,F/A India
GRAY,#CG0YQP2C,BÃVÌØ..🖤!,0xffffce89,28000014,1060,178,BC*|Family*
GRAY,#8820PPUC,Guillermo64,0xfff9c908,28000034,1060,179,Tribe Gaming NA
GRAY,#YCJ28Y8,ƬꜧꭤƖеꜱ★♪,0xffff9727,28000124,1060,180,BS|MORTIS💜
GRAY,#2Q892QVU,TTM|Maru,0xff4ddba2,28000140,1060,181,A Few Good Men
GRAY,#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000156,1060,182,the NOMADくれいじー
GRAY,#V2JR9QG8,DES|Zetu🍤,0xffcb5aff,28000188,1059,183,Himalaya
GRAY,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1059,184,BrawlConQueso
GRAY,#2R9P00RQU,wiñtye🃏,0xff1ba5f5,28000108,1059,185,DUO LOVEღ
GRAY,#YVQCUGV9,kayjaysita,0xff1ba5f5,28000134,1058,186,Doble U
GRAY,#8GUPLYY,Jene_Azure,0xffffce89,28000108,1058,187,Trophy
